INFO 2024-05-01 22:35:54,428 basehttp 16676 18008 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11800
INFO 2024-05-01 22:35:54,428 basehttp 16676 8156 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2024-05-01 22:35:57,068 basehttp 16676 18008 "GET /admin/myapp/client/ HTTP/1.1" 200 17338
INFO 2024-05-01 22:35:57,092 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:02,794 basehttp 16676 18008 "GET /admin/myapp/order/ HTTP/1.1" 200 46633
INFO 2024-05-01 22:36:02,820 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:08,034 basehttp 16676 18008 "GET /admin/myapp/product/ HTTP/1.1" 200 24124
INFO 2024-05-01 22:36:08,055 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:09,461 basehttp 16676 18008 "GET /admin/auth/group/ HTTP/1.1" 200 8921
INFO 2024-05-01 22:36:09,480 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:10,221 basehttp 16676 18008 "GET /admin/myapp/client/ HTTP/1.1" 200 17338
INFO 2024-05-01 22:36:10,238 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:12,787 basehttp 16676 18008 "GET /admin/myapp/order/ HTTP/1.1" 200 46633
INFO 2024-05-01 22:36:12,805 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:45,801 basehttp 16676 18008 "GET /admin/myapp/client/ HTTP/1.1" 200 17338
INFO 2024-05-01 22:36:45,829 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:46,809 basehttp 16676 18008 "GET /admin/myapp/product/ HTTP/1.1" 200 24124
INFO 2024-05-01 22:36:46,828 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:54,783 basehttp 16676 18008 "GET /admin/myapp/product/1/change/ HTTP/1.1" 200 13099
INFO 2024-05-01 22:36:54,803 basehttp 16676 18008 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:36:55,678 basehttp 16676 18008 "GET /admin/myapp/client/ HTTP/1.1" 200 17338
